City,Month,Avg Daily Deployment,City Center Max Cap,Fleet Size,Tasks per Month,Revenue per Month,Ops Cost per Month,Ops Profit per Month,Revenue per Vehicle per Day,Ops Cost per Task,Compliant,GR Priority
Tokyo,Jan 2025,5188,6000,6500,466920,"$2,023,320.00","$1,400,760.00","$622,560.00",$13.00,$3.00,yes,High
Tokyo,Feb 2025,5404,6000,6500,486360,"$2,107,560.00","$1,459,080.00","$648,480.00",$13.00,$3.00,yes,High
Tokyo,Mar 2025,5220,6000,6500,469800,"$2,035,800.00","$1,409,400.00","$626,400.00",$13.00,$3.00,yes,High
Tokyo,Apr 2025,5917,6000,6500,532530,"$2,307,630.00","$1,597,590.00","$710,040.00",$13.00,$3.00,yes,High
Tokyo,May 2025,5850,6000,6500,526500,"$2,281,500.00","$1,579,500.00","$702,000.00",$13.00,$3.00,yes,High
Tokyo,Jun 2025,4974,6000,6500,447660,"$1,939,860.00","$1,342,980.00","$596,880.00",$13.00,$3.00,yes,High
Tokyo,Jul 2025,6500,6000,6500,585000,"$2,535,000.00","$1,755,000.00","$780,000.00",$13.00,$3.00,no,High
Tokyo,Aug 2025,6500,6000,6500,585000,"$2,535,000.00","$1,755,000.00","$780,000.00",$13.00,$3.00,no,High
Tokyo,Sep 2025,5099,6000,6500,458910,"$1,988,610.00","$1,376,730.00","$611,880.00",$13.00,$3.00,yes,High
Tokyo,Oct 2025,5150,6000,6500,463500,"$2,008,500.00","$1,390,500.00","$618,000.00",$13.00,$3.00,yes,High
Tokyo,Nov 2025,4983,6000,6500,448470,"$1,943,370.00","$1,345,410.00","$597,960.00",$13.00,$3.00,yes,High
Tokyo,Dec 2025,5984,6000,6500,538560,"$2,333,760.00","$1,615,680.00","$718,080.00",$13.00,$3.00,yes,High
Tokyo,Jan 2026,5766,6000,6500,518940,"$2,248,740.00","$1,556,820.00","$691,920.00",$13.00,$3.00,yes,High
Tokyo,Feb 2026,5376,6000,6500,483840,"$2,096,640.00","$1,451,520.00","$645,120.00",$13.00,$3.00,yes,High
Tokyo,Mar 2026,6500,6000,6500,585000,"$2,535,000.00","$1,755,000.00","$780,000.00",$13.00,$3.00,no,High
Los Angeles,Jan 2024,6000,5500,6000,540000,"$2,340,000.00","$1,620,000.00","$720,000.00",$13.00,$3.00,no,High
Los Angeles,Feb 2024,4803,5500,6000,432270,"$1,873,170.00","$1,296,810.00","$576,360.00",$13.00,$3.00,yes,High
Los Angeles,Mar 2024,5992,5500,6000,539280,"$2,336,880.00","$1,617,840.00","$719,040.00",$13.00,$3.00,no,High
Los Angeles,Apr 2024,6000,5500,6000,540000,"$2,340,000.00","$1,620,000.00","$720,000.00",$13.00,$3.00,no,High
Los Angeles,May 2024,5088,5500,6000,457920,"$1,984,320.00","$1,373,760.00","$610,560.00",$13.00,$3.00,yes,High
Los Angeles,Jun 2024,6000,5500,6000,540000,"$2,340,000.00","$1,620,000.00","$720,000.00",$13.00,$3.00,no,High
Los Angeles,Jul 2024,5461,5500,6000,491490,"$2,129,790.00","$1,474,470.00","$655,320.00",$13.00,$3.00,yes,High
Los Angeles,Aug 2024,4693,5500,6000,422370,"$1,830,270.00","$1,267,110.00","$563,160.00",$13.00,$3.00,yes,High
Los Angeles,Sep 2024,6000,5500,6000,540000,"$2,340,000.00","$1,620,000.00","$720,000.00",$13.00,$3.00,no,High
Los Angeles,Oct 2024,4628,5500,6000,416520,"$1,804,920.00","$1,249,560.00","$555,360.00",$13.00,$3.00,yes,High
Los Angeles,Nov 2024,5772,5500,6000,519480,"$2,251,080.00","$1,558,440.00","$692,640.00",$13.00,$3.00,no,High
Los Angeles,Dec 2024,6000,5500,6000,540000,"$2,340,000.00","$1,620,000.00","$720,000.00",$13.00,$3.00,no,High
Los Angeles,Jan 2025,5995,5500,6000,539550,"$2,338,050.00","$1,618,650.00","$719,400.00",$13.00,$3.00,no,High
Los Angeles,Feb 2025,6000,5500,6000,540000,"$2,340,000.00","$1,620,000.00","$720,000.00",$13.00,$3.00,no,High
Los Angeles,Mar 2025,5219,5500,6000,469710,"$2,035,410.00","$1,409,130.00","$626,280.00",$13.00,$3.00,yes,High
Los Angeles,Apr 2025,4901,5500,6000,441090,"$1,911,390.00","$1,323,270.00","$588,120.00",$13.00,$3.00,yes,High
Los Angeles,May 2025,5807,5500,6000,522630,"$2,264,730.00","$1,567,890.00","$696,840.00",$13.00,$3.00,no,High
Los Angeles,Jun 2025,6000,5500,6000,540000,"$2,340,000.00","$1,620,000.00","$720,000.00",$13.00,$3.00,no,High
Los Angeles,Jul 2025,4963,5500,6000,446670,"$1,935,570.00","$1,340,010.00","$595,560.00",$13.00,$3.00,yes,High
Los Angeles,Aug 2025,6000,5500,6000,540000,"$2,340,000.00","$1,620,000.00","$720,000.00",$13.00,$3.00,no,High
Los Angeles,Sep 2025,4721,5500,6000,424890,"$1,841,190.00","$1,274,670.00","$566,520.00",$13.00,$3.00,yes,High
Los Angeles,Oct 2025,5433,5500,6000,488970,"$2,118,870.00","$1,466,910.00","$651,960.00",$13.00,$3.00,yes,High
Los Angeles,Nov 2025,6000,5500,6000,540000,"$2,340,000.00","$1,620,000.00","$720,000.00",$13.00,$3.00,no,High
Los Angeles,Dec 2025,4666,5500,6000,419940,"$1,819,740.00","$1,259,820.00","$559,920.00",$13.00,$3.00,yes,High
Los Angeles,Jan 2026,6000,5500,6000,540000,"$2,340,000.00","$1,620,000.00","$720,000.00",$13.00,$3.00,no,High
Los Angeles,Feb 2026,6000,5500,6000,540000,"$2,340,000.00","$1,620,000.00","$720,000.00",$13.00,$3.00,no,High
Los Angeles,Mar 2026,5615,5500,6000,505350,"$2,189,850.00","$1,516,050.00","$673,800.00",$13.00,$3.00,no,High
Chicago,Jan 2024,3932,4500,5000,353880,"$1,415,520.00","$973,170.00","$442,350.00",$12.00,$2.75,yes,High
Chicago,Feb 2024,4450,4500,5000,400500,"$1,602,000.00","$1,101,375.00","$500,625.00",$12.00,$2.75,yes,High
Chicago,Mar 2024,3783,4500,5000,340470,"$1,361,880.00","$936,292.50","$425,587.50",$12.00,$2.75,yes,High
Chicago,Apr 2024,4138,4500,5000,372420,"$1,489,680.00","$1,024,155.00","$465,525.00",$12.00,$2.75,yes,High
Chicago,May 2024,4179,4500,5000,376110,"$1,504,440.00","$1,034,302.50","$470,137.50",$12.00,$2.75,yes,High
Chicago,Jun 2024,4699,4500,5000,422910,"$1,691,640.00","$1,163,002.50","$528,637.50",$12.00,$2.75,no,High
Chicago,Jul 2024,4732,4500,5000,425880,"$1,703,520.00","$1,171,170.00","$532,350.00",$12.00,$2.75,no,High
Chicago,Aug 2024,4423,4500,5000,398070,"$1,592,280.00","$1,094,692.50","$497,587.50",$12.00,$2.75,yes,High
Chicago,Sep 2024,4639,4500,5000,417510,"$1,670,040.00","$1,148,152.50","$521,887.50",$12.00,$2.75,no,High
Chicago,Oct 2024,3914,4500,5000,352260,"$1,409,040.00","$968,715.00","$440,325.00",$12.00,$2.75,yes,High
Chicago,Nov 2024,4314,4500,5000,388260,"$1,553,040.00","$1,067,715.00","$485,325.00",$12.00,$2.75,yes,High
Chicago,Dec 2024,3902,4500,5000,351180,"$1,404,720.00","$965,745.00","$438,975.00",$12.00,$2.75,yes,High
Chicago,Jan 2025,4136,4500,5000,372240,"$1,488,960.00","$1,023,660.00","$465,300.00",$12.00,$2.75,yes,High
Chicago,Feb 2025,3697,4500,5000,332730,"$1,330,920.00","$915,007.50","$415,912.50",$12.00,$2.75,yes,High
Chicago,Mar 2025,4405,4500,5000,396450,"$1,585,800.00","$1,090,237.50","$495,562.50",$12.00,$2.75,yes,High
Chicago,Apr 2025,4884,4500,5000,439560,"$1,758,240.00","$1,208,790.00","$549,450.00",$12.00,$2.75,no,High
Chicago,May 2025,4904,4500,5000,441360,"$1,765,440.00","$1,213,740.00","$551,700.00",$12.00,$2.75,no,High
Chicago,Jun 2025,3793,4500,5000,341370,"$1,365,480.00","$938,767.50","$426,712.50",$12.00,$2.75,yes,High
Chicago,Jul 2025,4418,4500,5000,397620,"$1,590,480.00","$1,093,455.00","$497,025.00",$12.00,$2.75,yes,High
Chicago,Aug 2025,5000,4500,5000,450000,"$1,800,000.00","$1,237,500.00","$562,500.00",$12.00,$2.75,no,High
Chicago,Sep 2025,4703,4500,5000,423270,"$1,693,080.00","$1,163,992.50","$529,087.50",$12.00,$2.75,no,High
Chicago,Oct 2025,3773,4500,5000,339570,"$1,358,280.00","$933,817.50","$424,462.50",$12.00,$2.75,yes,High
Chicago,Nov 2025,5000,4500,5000,450000,"$1,800,000.00","$1,237,500.00","$562,500.00",$12.00,$2.75,no,High
Chicago,Dec 2025,4192,4500,5000,377280,"$1,509,120.00","$1,037,520.00","$471,600.00",$12.00,$2.75,yes,High
Chicago,Jan 2026,4443,4500,5000,399870,"$1,599,480.00","$1,099,642.50","$499,837.50",$12.00,$2.75,yes,High
Chicago,Feb 2026,5000,4500,5000,450000,"$1,800,000.00","$1,237,500.00","$562,500.00",$12.00,$2.75,no,High
Chicago,Mar 2026,5000,4500,5000,450000,"$1,800,000.00","$1,237,500.00","$562,500.00",$12.00,$2.75,no,High
Sydney,Jan 2024,3810,4000,4500,342900,"$1,371,600.00","$942,975.00","$428,625.00",$12.00,$2.75,yes,High
Sydney,Feb 2024,3950,4000,4500,355500,"$1,422,000.00","$977,625.00","$444,375.00",$12.00,$2.75,yes,High
Sydney,Mar 2024,3902,4000,4500,351180,"$1,404,720.00","$965,745.00","$438,975.00",$12.00,$2.75,yes,High
Sydney,Apr 2024,3472,4000,4500,312480,"$1,249,920.00","$859,320.00","$390,600.00",$12.00,$2.75,yes,High
Sydney,May 2024,3357,4000,4500,302130,"$1,208,520.00","$830,857.50","$377,662.50",$12.00,$2.75,yes,High
Sydney,Jun 2024,4492,4000,4500,404280,"$1,617,120.00","$1,111,770.00","$505,350.00",$12.00,$2.75,no,High
Sydney,Jul 2024,3867,4000,4500,348030,"$1,392,120.00","$957,082.50","$435,037.50",$12.00,$2.75,yes,High
Sydney,Aug 2024,3499,4000,4500,314910,"$1,259,640.00","$866,002.50","$393,637.50",$12.00,$2.75,yes,High
Sydney,Sep 2024,3443,4000,4500,309870,"$1,239,480.00","$852,142.50","$387,337.50",$12.00,$2.75,yes,High
Sydney,Oct 2024,3419,4000,4500,307710,"$1,230,840.00","$846,202.50","$384,637.50",$12.00,$2.75,yes,High
Sydney,Nov 2024,3902,4000,4500,351180,"$1,404,720.00","$965,745.00","$438,975.00",$12.00,$2.75,yes,High
Sydney,Dec 2024,4213,4000,4500,379170,"$1,516,680.00","$1,042,717.50","$473,962.50",$12.00,$2.75,no,High
Sydney,Jan 2025,3567,4000,4500,321030,"$1,284,120.00","$882,832.50","$401,287.50",$12.00,$2.75,yes,High
Sydney,Feb 2025,4337,4000,4500,390330,"$1,561,320.00","$1,073,407.50","$487,912.50",$12.00,$2.75,no,High
Sydney,Mar 2025,4135,4000,4500,372150,"$1,488,600.00","$1,023,412.50","$465,187.50",$12.00,$2.75,no,High
Sydney,Apr 2025,4165,4000,4500,374850,"$1,499,400.00","$1,030,837.50","$468,562.50",$12.00,$2.75,no,High
Sydney,May 2025,4207,4000,4500,378630,"$1,514,520.00","$1,041,232.50","$473,287.50",$12.00,$2.75,no,High
Sydney,Jun 2025,3592,4000,4500,323280,"$1,293,120.00","$889,020.00","$404,100.00",$12.00,$2.75,yes,High
Sydney,Jul 2025,3505,4000,4500,315450,"$1,261,800.00","$867,487.50","$394,312.50",$12.00,$2.75,yes,High
Sydney,Aug 2025,3648,4000,4500,328320,"$1,313,280.00","$902,880.00","$410,400.00",$12.00,$2.75,yes,High
Sydney,Sep 2025,3695,4000,4500,332550,"$1,330,200.00","$914,512.50","$415,687.50",$12.00,$2.75,yes,High
Sydney,Oct 2025,3790,4000,4500,341100,"$1,364,400.00","$938,025.00","$426,375.00",$12.00,$2.75,yes,High
Sydney,Nov 2025,3946,4000,4500,355140,"$1,420,560.00","$976,635.00","$443,925.00",$12.00,$2.75,yes,High
Sydney,Dec 2025,3797,4000,4500,341730,"$1,366,920.00","$939,757.50","$427,162.50",$12.00,$2.75,yes,High
Sydney,Jan 2026,3762,4000,4500,338580,"$1,354,320.00","$931,095.00","$423,225.00",$12.00,$2.75,yes,High
Sydney,Feb 2026,3330,4000,4500,299700,"$1,198,800.00","$824,175.00","$374,625.00",$12.00,$2.75,yes,High
Sydney,Mar 2026,3517,4000,4500,316530,"$1,266,120.00","$870,457.50","$395,662.50",$12.00,$2.75,yes,High
Berlin,Jan 2024,3404,3500,4000,306360,"$1,123,320.00","$765,900.00","$357,420.00",$11.00,$2.50,yes,High
Berlin,Feb 2024,3696,3500,4000,332640,"$1,219,680.00","$831,600.00","$388,080.00",$11.00,$2.50,no,High
Berlin,Mar 2024,3127,3500,4000,281430,"$1,031,910.00","$703,575.00","$328,335.00",$11.00,$2.50,yes,High
Berlin,Apr 2024,3056,3500,4000,275040,"$1,008,480.00","$687,600.00","$320,880.00",$11.00,$2.50,yes,High
Berlin,May 2024,3134,3500,4000,282060,"$1,034,220.00","$705,150.00","$329,070.00",$11.00,$2.50,yes,High
Berlin,Jun 2024,3854,3500,4000,346860,"$1,271,820.00","$867,150.00","$404,670.00",$11.00,$2.50,no,High
Berlin,Jul 2024,3828,3500,4000,344520,"$1,263,240.00","$861,300.00","$401,940.00",$11.00,$2.50,no,High
Berlin,Aug 2024,3800,3500,4000,342000,"$1,254,000.00","$855,000.00","$399,000.00",$11.00,$2.50,no,High
Berlin,Sep 2024,3050,3500,4000,274500,"$1,006,500.00","$686,250.00","$320,250.00",$11.00,$2.50,yes,High
Berlin,Oct 2024,3235,3500,4000,291150,"$1,067,550.00","$727,875.00","$339,675.00",$11.00,$2.50,yes,High
Berlin,Nov 2024,3765,3500,4000,338850,"$1,242,450.00","$847,125.00","$395,325.00",$11.00,$2.50,no,High
Berlin,Dec 2024,3004,3500,4000,270360,"$991,320.00","$675,900.00","$315,420.00",$11.00,$2.50,yes,High
Berlin,Jan 2025,3437,3500,4000,309330,"$1,134,210.00","$773,325.00","$360,885.00",$11.00,$2.50,yes,High
Berlin,Feb 2025,3641,3500,4000,327690,"$1,201,530.00","$819,225.00","$382,305.00",$11.00,$2.50,no,High
Berlin,Mar 2025,3194,3500,4000,287460,"$1,054,020.00","$718,650.00","$335,370.00",$11.00,$2.50,yes,High
Berlin,Apr 2025,3710,3500,4000,333900,"$1,224,300.00","$834,750.00","$389,550.00",$11.00,$2.50,no,High
Berlin,May 2025,3885,3500,4000,349650,"$1,282,050.00","$874,125.00","$407,925.00",$11.00,$2.50,no,High
Berlin,Jun 2025,3664,3500,4000,329760,"$1,209,120.00","$824,400.00","$384,720.00",$11.00,$2.50,no,High
Berlin,Jul 2025,2885,3500,4000,259650,"$952,050.00","$649,125.00","$302,925.00",$11.00,$2.50,yes,High
Berlin,Aug 2025,3169,3500,4000,285210,"$1,045,770.00","$713,025.00","$332,745.00",$11.00,$2.50,yes,High
Berlin,Sep 2025,3600,3500,4000,324000,"$1,188,000.00","$810,000.00","$378,000.00",$11.00,$2.50,no,High
Berlin,Oct 2025,3266,3500,4000,293940,"$1,077,780.00","$734,850.00","$342,930.00",$11.00,$2.50,yes,High
Berlin,Nov 2025,3308,3500,4000,297720,"$1,091,640.00","$744,300.00","$347,340.00",$11.00,$2.50,yes,High
Berlin,Dec 2025,3023,3500,4000,272070,"$997,590.00","$680,175.00","$317,415.00",$11.00,$2.50,yes,High
Berlin,Jan 2026,3572,3500,4000,321480,"$1,178,760.00","$803,700.00","$375,060.00",$11.00,$2.50,no,High
Berlin,Feb 2026,3893,3500,4000,350370,"$1,284,690.00","$875,925.00","$408,765.00",$11.00,$2.50,no,High
